date,monitor_id,latitude,longitude,benzene_ug_m3
9/16/2025,BMT-07,30.06816,-94.05800,0.8
9/30/2025,BMT-07,30.06816,-94.05800,0.8
10/14/2025,BMT-07,30.06816,-94.05800,0.7
10/28/2025,BMT-07,30.06816,-94.05800,0.6
11/11/2025,BMT-07,30.06816,-94.05800,0.9
11/25/2025,BMT-07,30.06816,-94.05800,0.7
12/9/2025,BMT-07,30.06816,-94.05800,0.7
12/22/2025,BMT-07,30.06816,-94.05800,0.9
1/6/2026,BMT-07,30.06816,-94.05800,0.8
1/20/2026,BMT-07,30.06816,-94.05800,1.0
2/3/2026,BMT-07,30.06816,-94.05800,0.7
2/17/2026,BMT-07,30.06816,-94.05800,0.7
3/3/2026,BMT-07,30.06816,-94.05800,0.7
3/17/2026,BMT-07,30.06816,-94.05800,0.7
3/31/2026,BMT-07,30.06816,-94.05800,0.6
4/14/2026,BMT-07,30.06816,-94.05800,0.6
4/28/2026,BMT-07,30.06816,-94.05800,0.6
5/12/2026,BMT-07,30.06816,-94.05800,0.6
5/26/2026,BMT-07,30.06816,-94.05800,0.6
11/28/2023,BMT-08,30.06701,-94.05709,0.9
12/12/2023,BMT-08,30.06701,-94.05709,1.2
12/26/2023,BMT-08,30.06701,-94.05709,0.9
1/9/2024,BMT-08,30.06701,-94.05709,1.3
1/23/2024,BMT-08,30.06701,-94.05709,1.2
2/6/2024,BMT-08,30.06701,-94.05709,1.5
2/18/2024,BMT-08,30.06701,-94.05709,0.6
2/20/2024,BMT-08,30.06701,-94.05709,0.8
3/5/2024,BMT-08,30.06701,-94.05709,0.8
3/19/2024,BMT-08,30.06701,-94.05709,0.6
4/2/2024,BMT-08,30.06701,-94.05709,0.6
4/16/2024,BMT-08,30.06701,-94.05709,1.5
4/30/2024,BMT-08,30.06701,-94.05709,0.6
5/14/2024,BMT-08,30.06701,-94.05709,0.6
5/28/2024,BMT-08,30.06701,-94.05709,0.6
6/11/2024,BMT-08,30.06701,-94.05709,0.6
6/25/2024,BMT-08,30.06701,-94.05709,0.5
7/9/2024,BMT-08,30.06701,-94.05709,0.70
7/23/2024,BMT-08,30.06701,-94.05709,0.7
8/6/2024,BMT-08,30.06701,-94.05709,0.7
8/20/2024,BMT-08,30.06701,-94.05709,0.9
9/3/2024,BMT-08,30.06701,-94.05709,0.6
9/17/2024,BMT-08,30.06701,-94.05709,0.6
9/30/2024,BMT-08,30.06701,-94.05709,1.2
10/15/2024,BMT-08,30.06701,-94.05709,0.7
10/29/2024,BMT-08,30.06701,-94.05709,0.8
11/12/2024,BMT-08,30.06701,-94.05709,0.6
11/26/2024,BMT-08,30.06701,-94.05709,1.2
12/10/2024,BMT-08,30.06701,-94.05709,0.9
12/24/2024,BMT-08,30.06701,-94.05709,0.8
1/7/2025,BMT-08,30.06701,-94.05709,0.8
1/20/2025,BMT-08,30.06701,-94.05709,1.0
2/4/2025,BMT-08,30.06701,-94.05709,1.3
3/4/2025,BMT-08,30.06701,-94.05709,0.9
3/18/2025,BMT-08,30.06701,-94.05709,1.4
4/1/2025,BMT-08,30.06701,-94.05709,0.7
4/15/2025,BMT-08,30.06701,-94.05709,0.7
4/29/2025,BMT-08,30.06701,-94.05709,0.5
5/13/2025,BMT-08,30.06701,-94.05709,0.6
5/27/2025,BMT-08,30.06701,-94.05709,0.5
6/10/2025,BMT-08,30.06701,-94.05709,0.5
6/24/2025,BMT-08,30.06701,-94.05709,0.5
7/8/2025,BMT-08,30.06701,-94.05709,0.7
7/22/2025,BMT-08,30.06701,-94.05709,1.1
8/5/2025,BMT-08,30.06701,-94.05709,1.1
8/19/2025,BMT-08,30.06701,-94.05709,0.3
9/2/2025,BMT-08,30.06701,-94.05709,0.3
9/16/2025,BMT-08,30.06701,-94.05709,1.1
9/30/2025,BMT-08,30.06701,-94.05709,0.8
10/14/2025,BMT-08,30.06701,-94.05709,0.6
10/28/2025,BMT-08,30.06701,-94.05709,0.5
11/11/2025,BMT-08,30.06701,-94.05709,0.7
11/25/2025,BMT-08,30.06701,-94.05709,0.7
12/9/2025,BMT-08,30.06701,-94.05709,0.6
12/22/2025,BMT-08,30.06701,-94.05709,0.8
1/6/2026,BMT-08,30.06701,-94.05709,0.6
1/20/2026,BMT-08,30.06701,-94.05709,0.9
2/3/2026,BMT-08,30.06701,-94.05709,0.6
2/17/2026,BMT-08,30.06701,-94.05709,0.6
3/3/2026,BMT-08,30.06701,-94.05709,0.6
3/17/2026,BMT-08,30.06701,-94.05709,0.6
3/31/2026,BMT-08,30.06701,-94.05709,0.6
4/14/2026,BMT-08,30.06701,-94.05709,0.6
4/28/2026,BMT-08,30.06701,-94.05709,0.6
5/12/2026,BMT-08,30.06701,-94.05709,0.6
5/26/2026,BMT-08,30.06701,-94.05709,0.6
11/28/2023,BMT-09,30.06896,-94.05434,0.7
12/12/2023,BMT-09,30.06896,-94.05434,0.9
12/26/2023,BMT-09,30.06896,-94.05434,0.8
1/9/2024,BMT-09,30.06896,-94.05434,1.1
1/23/2024,BMT-09,30.06896,-94.05434,0.8
2/6/2024,BMT-09,30.06896,-94.05434,1.2
2/18/2024,BMT-09,30.06896,-94.05434,0.6
2/20/2024,BMT-09,30.06896,-94.05434,0.7
3/5/2024,BMT-09,30.06896,-94.05434,0.7
3/19/2024,BMT-09,30.06896,-94.05434,0.5
4/2/2024,BMT-09,30.06896,-94.05434,0.5
4/16/2024,BMT-09,30.06896,-94.05434,0.6
4/30/2024,BMT-09,30.06896,-94.05434,0.5
5/14/2024,BMT-09,30.06896,-94.05434,0.5
5/28/2024,BMT-09,30.06896,-94.05434,0.6
6/11/2024,BMT-09,30.06896,-94.05434,0.5
6/25/2024,BMT-09,30.06896,-94.05434,0.4
7/9/2024,BMT-09,30.06896,-94.05434,0.52
7/23/2024,BMT-09,30.06896,-94.05434,0.7
8/6/2024,BMT-09,30.06896,-94.05434,0.8
8/20/2024,BMT-09,30.06896,-94.05434,1.0
9/3/2024,BMT-09,30.06896,-94.05434,0.6
9/17/2024,BMT-09,30.06896,-94.05434,0.5
9/30/2024,BMT-09,30.06896,-94.05434,1.0
10/15/2024,BMT-09,30.06896,-94.05434,0.6
10/29/2024,BMT-09,30.06896,-94.05434,0.8
11/12/2024,BMT-09,30.06896,-94.05434,0.5
11/26/2024,BMT-09,30.06896,-94.05434,1.0
12/10/2024,BMT-09,30.06896,-94.05434,0.9
12/24/2024,BMT-09,30.06896,-94.05434,0.7
1/7/2025,BMT-09,30.06896,-94.05434,0.7
1/20/2025,BMT-09,30.06896,-94.05434,1.0
2/4/2025,BMT-09,30.06896,-94.05434,0.9
3/4/2025,BMT-09,30.06896,-94.05434,0.8
3/18/2025,BMT-09,30.06896,-94.05434,0.9
4/1/2025,BMT-09,30.06896,-94.05434,0.7
4/15/2025,BMT-09,30.06896,-94.05434,0.6
4/29/2025,BMT-09,30.06896,-94.05434,0.5
5/13/2025,BMT-09,30.06896,-94.05434,0.6
5/27/2025,BMT-09,30.06896,-94.05434,0.4
6/10/2025,BMT-09,30.06896,-94.05434,0.5
6/24/2025,BMT-09,30.06896,-94.05434,0.5
7/8/2025,BMT-09,30.06896,-94.05434,0.6
7/22/2025,BMT-09,30.06896,-94.05434,0.7
8/5/2025,BMT-09,30.06896,-94.05434,0.8
8/19/2025,BMT-09,30.06896,-94.05434,0.7
9/2/2025,BMT-09,30.06896,-94.05434,0.7
9/16/2025,BMT-09,30.06896,-94.05434,0.7
9/30/2025,BMT-09,30.06896,-94.05434,0.9
10/14/2025,BMT-09,30.06896,-94.05434,0.7
10/28/2025,BMT-09,30.06896,-94.05434,0.6
11/11/2025,BMT-09,30.06896,-94.05434,0.7
11/25/2025,BMT-09,30.06896,-94.05434,0.6
12/9/2025,BMT-09,30.06896,-94.05434,0.6
12/22/2025,BMT-09,30.06896,-94.05434,0.9
1/6/2026,BMT-09,30.06896,-94.05434,0.6
1/20/2026,BMT-09,30.06896,-94.05434,0.8
2/3/2026,BMT-09,30.06896,-94.05434,0.7
2/17/2026,BMT-09,30.06896,-94.05434,0.7
3/3/2026,BMT-09,30.06896,-94.05434,0.7
3/17/2026,BMT-09,30.06896,-94.05434,0.7
3/31/2026,BMT-09,30.06896,-94.05434,0.7
4/14/2026,BMT-09,30.06896,-94.05434,0.7
4/28/2026,BMT-09,30.06896,-94.05434,0.7
5/12/2026,BMT-09,30.06896,-94.05434,0.7
5/26/2026,BMT-09,30.06896,-94.05434,0.6
11/28/2023,BMT-10,30.06711,-94.05172,0.7
12/12/2023,BMT-10,30.06711,-94.05172,0.9
12/26/2023,BMT-10,30.06711,-94.05172,0.7
1/9/2024,BMT-10,30.06711,-94.05172,0.9
1/23/2024,BMT-10,30.06711,-94.05172,0.7
2/6/2024,BMT-10,30.06711,-94.05172,1.0
2/18/2024,BMT-10,30.06711,-94.05172,0.5
2/20/2024,BMT-10,30.06711,-94.05172,0.7
3/5/2024,BMT-10,30.06711,-94.05172,0.6
3/19/2024,BMT-10,30.06711,-94.05172,0.4
4/2/2024,BMT-10,30.06711,-94.05172,0.5
4/16/2024,BMT-10,30.06711,-94.05172,0.6
4/30/2024,BMT-10,30.06711,-94.05172,0.5
5/14/2024,BMT-10,30.06711,-94.05172,0.5
5/28/2024,BMT-10,30.06711,-94.05172,0.6
6/11/2024,BMT-10,30.06711,-94.05172,0.5
6/25/2024,BMT-10,30.06711,-94.05172,0.5
7/9/2024,BMT-10,30.06711,-94.05172,0.18
7/23/2024,BMT-10,30.06711,-94.05172,0.5
8/6/2024,BMT-10,30.06711,-94.05172,0.6
8/20/2024,BMT-10,30.06711,-94.05172,0.8
9/3/2024,BMT-10,30.06711,-94.05172,0.7
9/17/2024,BMT-10,30.06711,-94.05172,0.6
9/30/2024,BMT-10,30.06711,-94.05172,1.0
10/15/2024,BMT-10,30.06711,-94.05172,0.9
10/29/2024,BMT-10,30.06711,-94.05172,0.9
11/12/2024,BMT-10,30.06711,-94.05172,0.5
11/26/2024,BMT-10,30.06711,-94.05172,0.9
12/10/2024,BMT-10,30.06711,-94.05172,0.8
12/24/2024,BMT-10,30.06711,-94.05172,0.7
1/7/2025,BMT-10,30.06711,-94.05172,0.6
1/20/2025,BMT-10,30.06711,-94.05172,0.9
2/4/2025,BMT-10,30.06711,-94.05172,1.0
3/4/2025,BMT-10,30.06711,-94.05172,0.9
3/18/2025,BMT-10,30.06711,-94.05172,0.8
4/1/2025,BMT-10,30.06711,-94.05172,0.6
4/15/2025,BMT-10,30.06711,-94.05172,0.5
4/29/2025,BMT-10,30.06711,-94.05172,0.5
5/13/2025,BMT-10,30.06711,-94.05172,0.5
5/27/2025,BMT-10,30.06711,-94.05172,0.3
6/10/2025,BMT-10,30.06711,-94.05172,0.7
6/24/2025,BMT-10,30.06711,-94.05172,0.4
7/8/2025,BMT-10,30.06711,-94.05172,0.8
7/22/2025,BMT-10,30.06711,-94.05172,0.7
8/5/2025,BMT-10,30.06711,-94.05172,0.7
8/19/2025,BMT-10,30.06711,-94.05172,0.6
9/2/2025,BMT-10,30.06711,-94.05172,0.3
9/16/2025,BMT-10,30.06711,-94.05172,0.7
9/30/2025,BMT-10,30.06711,-94.05172,1.7
10/14/2025,BMT-10,30.06711,-94.05172,0.9
10/28/2025,BMT-10,30.06711,-94.05172,0.6
11/11/2025,BMT-10,30.06711,-94.05172,0.9
11/25/2025,BMT-10,30.06711,-94.05172,0.6
12/9/2025,BMT-10,30.06711,-94.05172,0.6
12/22/2025,BMT-10,30.06711,-94.05172,0.8
1/6/2026,BMT-10,30.06711,-94.05172,0.5
1/20/2026,BMT-10,30.06711,-94.05172,0.6
2/3/2026,BMT-10,30.06711,-94.05172,0.7
2/17/2026,BMT-10,30.06711,-94.05172,0.7
3/3/2026,BMT-10,30.06711,-94.05172,0.7
3/17/2026,BMT-10,30.06711,-94.05172,0.7
3/31/2026,BMT-10,30.06711,-94.05172,0.7
4/14/2026,BMT-10,30.06711,-94.05172,0.7
4/28/2026,BMT-10,30.06711,-94.05172,0.7
5/12/2026,BMT-10,30.06711,-94.05172,0.7
5/26/2026,BMT-10,30.06711,-94.05172,0.7
11/28/2023,BMT-11,30.06474,-94.0527,0.7
12/12/2023,BMT-11,30.06474,-94.0527,0.8
12/26/2023,BMT-11,30.06474,-94.0527,0.8
1/9/2024,BMT-11,30.06474,-94.0527,0.9
1/23/2024,BMT-11,30.06474,-94.0527,0.8
2/6/2024,BMT-11,30.06474,-94.0527,1.3
2/18/2024,BMT-11,30.06474,-94.0527,0.5
2/20/2024,BMT-11,30.06474,-94.0527,0.8
3/5/2024,BMT-11,30.06474,-94.0527,0.7
3/19/2024,BMT-11,30.06474,-94.0527,0.5
4/2/2024,BMT-11,30.06474,-94.0527,0.5
4/16/2024,BMT-11,30.06474,-94.0527,0.8
4/30/2024,BMT-11,30.06474,-94.0527,0.5
5/14/2024,BMT-11,30.06474,-94.0527,0.5
5/28/2024,BMT-11,30.06474,-94.0527,0.6
6/11/2024,BMT-11,30.06474,-94.0527,0.5
6/25/2024,BMT-11,30.06474,-94.0527,0.4
7/9/2024,BMT-11,30.06474,-94.0527,0.47
7/23/2024,BMT-11,30.06474,-94.0527,0.6
8/6/2024,BMT-11,30.06474,-94.0527,0.6
8/20/2024,BMT-11,30.06474,-94.0527,0.8
9/3/2024,BMT-11,30.06474,-94.0527,0.6
9/17/2024,BMT-11,30.06474,-94.0527,0.5
9/30/2024,BMT-11,30.06474,-94.0527,0.8
10/15/2024,BMT-11,30.06474,-94.0527,0.8
10/29/2024,BMT-11,30.06474,-94.0527,0.8
11/12/2024,BMT-11,30.06474,-94.0527,0.5
11/26/2024,BMT-11,30.06474,-94.0527,0.7
12/10/2024,BMT-11,30.06474,-94.0527,0.8
12/24/2024,BMT-11,30.06474,-94.0527,0.7
1/7/2025,BMT-11,30.06474,-94.0527,0.6
1/20/2025,BMT-11,30.06474,-94.0527,1.5
2/4/2025,BMT-11,30.06474,-94.0527,1.0
3/4/2025,BMT-11,30.06474,-94.0527,0.8
3/18/2025,BMT-11,30.06474,-94.0527,1.0
4/1/2025,BMT-11,30.06474,-94.0527,0.7
4/15/2025,BMT-11,30.06474,-94.0527,0.6
4/29/2025,BMT-11,30.06474,-94.0527,0.6
5/13/2025,BMT-11,30.06474,-94.0527,0.5
5/27/2025,BMT-11,30.06474,-94.0527,0.4
6/10/2025,BMT-11,30.06474,-94.0527,0.5
6/24/2025,BMT-11,30.06474,-94.0527,0.4
7/8/2025,BMT-11,30.06474,-94.0527,0.6
7/22/2025,BMT-11,30.06474,-94.0527,0.5
8/5/2025,BMT-11,30.06474,-94.0527,0.8
8/19/2025,BMT-11,30.06474,-94.0527,0.6
9/2/2025,BMT-11,30.06474,-94.0527,0.7
9/16/2025,BMT-11,30.06474,-94.0527,0.8
9/30/2025,BMT-11,30.06474,-94.0527,1.2
10/14/2025,BMT-11,30.06474,-94.0527,0.7
10/28/2025,BMT-11,30.06474,-94.0527,0.7
11/11/2025,BMT-11,30.06474,-94.0527,0.8
11/25/2025,BMT-11,30.06474,-94.0527,0.6
12/9/2025,BMT-11,30.06474,-94.0527,0.6
12/22/2025,BMT-11,30.06474,-94.0527,0.8
1/6/2026,BMT-11,30.06474,-94.0527,0.5
1/20/2026,BMT-11,30.06474,-94.0527,0.6
2/3/2026,BMT-11,30.06474,-94.0527,0.7
2/17/2026,BMT-11,30.06474,-94.0527,0.7
3/3/2026,BMT-11,30.06474,-94.0527,0.7
3/17/2026,BMT-11,30.06474,-94.0527,0.7
3/31/2026,BMT-11,30.06474,-94.0527,0.7
4/14/2026,BMT-11,30.06474,-94.0527,0.7
4/28/2026,BMT-11,30.06474,-94.0527,0.7
5/12/2026,BMT-11,30.06474,-94.0527,0.7
5/26/2026,BMT-11,30.06474,-94.0527,0.6
11/28/2023,BMT-12,30.06382,-94.075473,0.8
12/12/2023,BMT-12,30.06382,-94.075473,0.8
12/26/2023,BMT-12,30.06382,-94.075473,0.9
1/9/2024,BMT-12,30.06382,-94.075473,1.0
1/23/2024,BMT-12,30.06382,-94.075473,0.8
2/6/2024,BMT-12,30.06382,-94.075473,1.5
2/18/2024,BMT-12,30.06382,-94.075473,0.5
2/20/2024,BMT-12,30.06382,-94.075473,0.8
3/5/2024,BMT-12,30.06382,-94.075473,0.7
3/19/2024,BMT-12,30.06382,-94.075473,0.5
4/2/2024,BMT-12,30.06382,-94.075473,0.6
4/16/2024,BMT-12,30.06382,-94.075473,1.0
4/30/2024,BMT-12,30.06382,-94.075473,0.6
5/14/2024,BMT-12,30.06382,-94.075473,0.5
5/28/2024,BMT-12,30.06382,-94.075473,0.6
6/11/2024,BMT-12,30.06382,-94.075473,0.5
6/25/2024,BMT-12,30.06382,-94.075473,0.4
7/9/2024,BMT-12,30.06382,-94.075473,0.52
7/23/2024,BMT-12,30.06382,-94.075473,0.6
8/6/2024,BMT-12,30.06382,-94.075473,0.5
8/20/2024,BMT-12,30.06382,-94.075473,0.7
9/3/2024,BMT-12,30.06382,-94.075473,0.7
9/17/2024,BMT-12,30.06382,-94.075473,0.6
9/30/2024,BMT-12,30.06382,-94.075473,0.8
10/15/2024,BMT-12,30.06382,-94.075473,0.7
10/29/2024,BMT-12,30.06382,-94.075473,0.7
11/12/2024,BMT-12,30.06382,-94.075473,0.7
11/26/2024,BMT-12,30.06382,-94.075473,0.8
12/10/2024,BMT-12,30.06382,-94.075473,0.9
12/24/2024,BMT-12,30.06382,-94.075473,0.8
1/7/2025,BMT-12,30.06382,-94.075473,0.7
1/20/2025,BMT-12,30.06382,-94.075473,1.5
3/4/2025,BMT-12,30.06382,-94.075473,0.8
3/18/2025,BMT-12,30.06382,-94.075473,0.9
4/1/2025,BMT-12,30.06382,-94.075473,0.6
4/15/2025,BMT-12,30.06382,-94.075473,0.5
4/29/2025,BMT-12,30.06382,-94.075473,0.5
5/13/2025,BMT-12,30.06382,-94.075473,0.5
5/27/2025,BMT-12,30.06382,-94.075473,0.3
6/10/2025,BMT-12,30.06382,-94.075473,0.6
6/24/2025,BMT-12,30.06382,-94.075473,0.5
7/8/2025,BMT-12,30.06382,-94.075473,0.6
7/22/2025,BMT-12,30.06382,-94.075473,0.7
8/5/2025,BMT-12,30.06382,-94.075473,0.9
8/19/2025,BMT-12,30.06382,-94.075473,0.7
9/2/2025,BMT-12,30.06382,-94.075473,0.7
9/16/2025,BMT-12,30.06382,-94.075473,0.8
9/30/2025,BMT-12,30.06382,-94.075473,1.1
10/14/2025,BMT-12,30.06382,-94.075473,6.1E-01
10/28/2025,BMT-12,30.06382,-94.075473,0.6
11/11/2025,BMT-12,30.06382,-94.075473,0.7
11/25/2025,BMT-12,30.06382,-94.075473,0.5
12/9/2025,BMT-12,30.06382,-94.075473,0.7
12/22/2025,BMT-12,30.06382,-94.075473,0.8
1/6/2026,BMT-12,30.06382,-94.075473,0.4
1/20/2026,BMT-12,30.06382,-94.075473,0.7
2/3/2026,BMT-12,30.06382,-94.075473,0.7
2/17/2026,BMT-12,30.06382,-94.075473,0.7
3/3/2026,BMT-12,30.06382,-94.075473,0.7
3/17/2026,BMT-12,30.06382,-94.075473,0.7
3/31/2026,BMT-12,30.06382,-94.075473,0.7
4/14/2026,BMT-12,30.06382,-94.075473,0.7
4/28/2026,BMT-12,30.06382,-94.075473,0.7
5/12/2026,BMT-12,30.06382,-94.075473,0.7
5/26/2026,BMT-12,30.06382,-94.075473,0.6
11/28/2023,BMT-13,30.06308,-94.05812,1.5
12/12/2023,BMT-13,30.06308,-94.05812,1.4
12/26/2023,BMT-13,30.06308,-94.05812,1.5
1/9/2024,BMT-13,30.06308,-94.05812,1.7
1/23/2024,BMT-13,30.06308,-94.05812,1.3
2/6/2024,BMT-13,30.06308,-94.05812,2.4
2/18/2024,BMT-13,30.06308,-94.05812,0.9
2/20/2024,BMT-13,30.06308,-94.05812,1.3
3/5/2024,BMT-13,30.06308,-94.05812,1.1
3/19/2024,BMT-13,30.06308,-94.05812,0.8
4/2/2024,BMT-13,30.06308,-94.05812,1.0
4/16/2024,BMT-13,30.06308,-94.05812,1.7
4/30/2024,BMT-13,30.06308,-94.05812,0.9
5/14/2024,BMT-13,30.06308,-94.05812,0.7
5/28/2024,BMT-13,30.06308,-94.05812,0.7
6/11/2024,BMT-13,30.06308,-94.05812,0.6
6/25/2024,BMT-13,30.06308,-94.05812,0.5
7/9/2024,BMT-13,30.06308,-94.05812,0.76
7/23/2024,BMT-13,30.06308,-94.05812,1.0
8/6/2024,BMT-13,30.06308,-94.05812,0.9
8/20/2024,BMT-13,30.06308,-94.05812,0.8
9/3/2024,BMT-13,30.06308,-94.05812,0.6
9/17/2024,BMT-13,30.06308,-94.05812,1.0
9/30/2024,BMT-13,30.06308,-94.05812,0.9
10/15/2024,BMT-13,30.06308,-94.05812,0.9
10/29/2024,BMT-13,30.06308,-94.05812,0.9
11/12/2024,BMT-13,30.06308,-94.05812,1.6
11/26/2024,BMT-13,30.06308,-94.05812,1.2
12/10/2024,BMT-13,30.06308,-94.05812,1.2
12/24/2024,BMT-13,30.06308,-94.05812,1.1
1/7/2025,BMT-13,30.06308,-94.05812,1.5
1/20/2025,BMT-13,30.06308,-94.05812,1.1
2/4/2025,BMT-13,30.06308,-94.05812,1.6
3/4/2025,BMT-13,30.06308,-94.05812,1.5
3/18/2025,BMT-13,30.06308,-94.05812,1.6
4/1/2025,BMT-13,30.06308,-94.05812,1.0
4/15/2025,BMT-13,30.06308,-94.05812,0.8
4/29/2025,BMT-13,30.06308,-94.05812,0.6
5/13/2025,BMT-13,30.06308,-94.05812,0.8
5/27/2025,BMT-13,30.06308,-94.05812,0.5
6/10/2025,BMT-13,30.06308,-94.05812,0.6
6/24/2025,BMT-13,30.06308,-94.05812,0.7
7/8/2025,BMT-13,30.06308,-94.05812,0.6
7/22/2025,BMT-13,30.06308,-94.05812,1.1
8/19/2025,BMT-13,30.06308,-94.05812,0.4
9/2/2025,BMT-13,30.06308,-94.05812,0.4
9/16/2025,BMT-13,30.06308,-94.05812,0.5
9/30/2025,BMT-13,30.06308,-94.05812,1.1
10/14/2025,BMT-13,30.06308,-94.05812,0.8
10/28/2025,BMT-13,30.06308,-94.05812,0.7
11/11/2025,BMT-13,30.06308,-94.05812,1.0
11/25/2025,BMT-13,30.06308,-94.05812,0.5
12/9/2025,BMT-13,30.06308,-94.05812,1.0
12/22/2025,BMT-13,30.06308,-94.05812,0.8
1/6/2026,BMT-13,30.06308,-94.05812,0.4
1/20/2026,BMT-13,30.06308,-94.05812,0.8
2/3/2026,BMT-13,30.06308,-94.05812,1.2
2/17/2026,BMT-13,30.06308,-94.05812,1.0
3/3/2026,BMT-13,30.06308,-94.05812,0.7
3/17/2026,BMT-13,30.06308,-94.05812,0.6
3/31/2026,BMT-13,30.06308,-94.05812,0.5
4/14/2026,BMT-13,30.06308,-94.05812,0.5
4/28/2026,BMT-13,30.06308,-94.05812,0.4
5/12/2026,BMT-13,30.06308,-94.05812,0.5
5/26/2026,BMT-13,30.06308,-94.05812,0.8
11/28/2023,BMT-14,30.06090,-94.06012,2.2
12/12/2023,BMT-14,30.06090,-94.06012,1.7
12/26/2023,BMT-14,30.06090,-94.06012,1.4
1/9/2024,BMT-14,30.06090,-94.06012,1.6
1/23/2024,BMT-14,30.06090,-94.06012,1.5
2/6/2024,BMT-14,30.06090,-94.06012,2.4
2/18/2024,BMT-14,30.06090,-94.06012,0.9
2/20/2024,BMT-14,30.06090,-94.06012,1.3
3/5/2024,BMT-14,30.06090,-94.06012,1.3
3/19/2024,BMT-14,30.06090,-94.06012,0.9
4/2/2024,BMT-14,30.06090,-94.06012,0.9
4/16/2024,BMT-14,30.06090,-94.06012,1.3
4/30/2024,BMT-14,30.06090,-94.06012,0.7
5/14/2024,BMT-14,30.06090,-94.06012,0.6
5/28/2024,BMT-14,30.06090,-94.06012,0.8
6/11/2024,BMT-14,30.06090,-94.06012,0.6
6/25/2024,BMT-14,30.06090,-94.06012,0.5
7/9/2024,BMT-14,30.06090,-94.06012,0.75
7/23/2024,BMT-14,30.06090,-94.06012,0.8
8/6/2024,BMT-14,30.06090,-94.06012,0.7
8/20/2024,BMT-14,30.06090,-94.06012,0.8
9/3/2024,BMT-14,30.06090,-94.06012,0.7
9/17/2024,BMT-14,30.06090,-94.06012,0.8
9/30/2024,BMT-14,30.06090,-94.06012,1.3
10/15/2024,BMT-14,30.06090,-94.06012,1.0
10/29/2024,BMT-14,30.06090,-94.06012,0.9
11/12/2024,BMT-14,30.06090,-94.06012,0.9
11/26/2024,BMT-14,30.06090,-94.06012,1.8
12/10/2024,BMT-14,30.06090,-94.06012,1.1
12/24/2024,BMT-14,30.06090,-94.06012,1.4
1/7/2025,BMT-14,30.06090,-94.06012,1.1
1/20/2025,BMT-14,30.06090,-94.06012,1.4
